--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.086  000.086: event init
000.146  000.060: early init
000.176  000.029: locale set
000.206  000.030: init first window
000.461  000.255: inits 1
000.465  000.003: window checked
000.467  000.003: parsing arguments
000.848  000.031  000.031: require('vim.shared')
000.926  000.031  000.031: require('vim.inspect')
000.965  000.030  000.030: require('vim._options')
000.967  000.117  000.056: require('vim._editor')
000.968  000.171  000.024: require('vim._init_packages')
000.969  000.330: init lua interpreter
000.995  000.026: expanding arguments
001.008  000.013: inits 2
001.197  000.190: init highlight
001.214  000.017: clear screen
001.304  000.011  000.011: require('vim.keymap')
001.854  000.088  000.088: sourcing nvim_exec2()
001.911  000.695  000.596: require('vim._defaults')
001.911  000.002: init default mappings & autocommands
002.120  000.031  000.031: sourcing /snap/nvim/4302/usr/share/nvim/runtime/ftplugin.vim
002.148  000.012  000.012: sourcing /snap/nvim/4302/usr/share/nvim/runtime/indent.vim
002.906  000.270  000.270: require('core.keymaps')
002.974  000.067  000.067: require('core.options')
003.058  000.083  000.083: require('lazy')
003.072  000.007  000.007: require('ffi')
003.100  000.015  000.015: require('vim.fs')
003.172  000.070  000.070: require('vim.uri')
003.185  000.111  000.026: require('vim.loader')
003.260  000.064  000.064: require('lazy.stats')
003.330  000.056  000.056: require('lazy.core.util')
003.395  000.065  000.065: require('lazy.core.config')
003.517  000.069  000.069: require('lazy.core.handler')
003.691  000.047  000.047: require('lazy.pkg')
003.695  000.111  000.064: require('lazy.core.meta')
003.699  000.181  000.070: require('lazy.core.plugin')
003.705  000.309  000.059: require('lazy.core.loader')
004.104  000.046  000.046: require('lazy.async')
004.221  000.068  000.068: require('lazy.manage.process')
004.253  000.032  000.032: require('lazy.terminal')
004.257  000.151  000.051: require('lazy.manage.task')
004.258  000.261  000.064: require('lazy.manage.runner')
004.260  000.382  000.121: require('lazy.manage')
004.262  000.478  000.095: require('lazy.view.commands')
004.299  000.022  000.022: require('lazy.core.fragments')
005.919  000.050  000.050: require('lazy.core.handler.keys')
