--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.079  000.078: event init
000.138  000.060: early init
000.163  000.025: locale set
000.189  000.026: init first window
000.417  000.227: inits 1
000.420  000.004: window checked
000.423  000.003: parsing arguments
000.782  000.030  000.030: require('vim.shared')
000.847  000.026  000.026: require('vim.inspect')
000.883  000.029  000.029: require('vim._options')
000.886  000.103  000.047: require('vim._editor')
000.888  000.158  000.025: require('vim._init_packages')
000.889  000.308: init lua interpreter
000.913  000.024: expanding arguments
000.925  000.012: inits 2
001.099  000.173: init highlight
001.112  000.014: clear screen
001.197  000.009  000.009: require('vim.keymap')
001.684  000.091  000.091: sourcing nvim_exec2()
001.741  000.628  000.528: require('vim._defaults')
001.742  000.002: init default mappings & autocommands
001.930  000.029  000.029: sourcing /snap/nvim/4302/usr/share/nvim/runtime/ftplugin.vim
001.956  000.012  000.012: sourcing /snap/nvim/4302/usr/share/nvim/runtime/indent.vim
002.699  000.318  000.318: require('core.keymaps')
002.798  000.097  000.097: require('core.options')
002.884  000.085  000.085: require('lazy')
002.899  000.007  000.007: require('ffi')
002.927  000.016  000.016: require('vim.fs')
002.995  000.066  000.066: require('vim.uri')
003.003  000.103  000.021: require('vim.loader')
003.088  000.075  000.075: require('lazy.stats')
003.156  000.052  000.052: require('lazy.core.util')
003.212  000.055  000.055: require('lazy.core.config')
003.330  000.067  000.067: require('lazy.core.handler')
003.485  000.043  000.043: require('lazy.pkg')
003.487  000.101  000.059: require('lazy.core.meta')
003.491  000.161  000.059: require('lazy.core.plugin')
003.500  000.287  000.060: require('lazy.core.loader')
003.922  000.038  000.038: require('lazy.async')
003.988  000.026  000.026: require('lazy.manage.process')
004.010  000.021  000.021: require('lazy.terminal')
004.013  000.090  000.043: require('lazy.manage.task')
004.014  000.155  000.028: require('lazy.manage.runner')
004.016  000.237  000.082: require('lazy.manage')
004.018  000.397  000.160: require('lazy.view.commands')
004.101  000.069  000.069: require('lazy.core.fragments')
004.973  000.034  000.034: require('lazy.core.handler.event')
